Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1698087287,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1698087288,50,,Aggregated,0.000000,0.000000,890,920,940,950,960,980,980,980,980,980,980,15,0,890.0,882.874539999951,794.7624999942491,983.9225000032457,191108.73333333334
1698087289,150,,Aggregated,0.000000,0.000000,940,1100,1100,1200,1500,1600,1800,1800,1800,1800,1800,89,0,940.0,968.6079741574318,97.58649999275804,1798.4561000048416,247191.59550561797
1698087290,200,,Aggregated,0.000000,0.000000,880,1000,1100,1100,1200,1500,1600,1800,1800,1800,1800,136,0,880.0,875.1973860291721,97.58649999275804,1798.4561000048416,278721.5294117647
1698087291,250,,Aggregated,23.000000,0.000000,900,1100,1100,1200,1300,1400,1600,1800,1800,1800,1800,186,0,900.0,905.1841650537143,97.58649999275804,1798.4561000048416,293046.0
1698087292,300,,Aggregated,37.333333,0.000000,1000,1200,1200,1300,1500,1800,1800,1900,2000,2000,2000,236,0,1000.0,1013.5643177967784,97.58649999275804,1956.7102000000887,280829.4576271186
1698087293,350,,Aggregated,40.250000,0.000000,1100,1200,1400,1500,1900,2300,2500,2700,2900,2900,2900,272,0,1100.0,1161.792262500218,97.58649999275804,2896.1934999970254,285382.7757352941
1698087294,400,,Aggregated,42.200000,0.000000,1100,1400,1700,1900,2500,2700,3100,3300,3900,3900,3900,307,0,1100.0,1333.7204169384063,97.58649999275804,3927.9054000071483,287747.52442996745
1698087295,450,,Aggregated,42.166667,0.000000,1200,1700,2100,2400,2900,3500,3900,4000,4500,4500,4500,346,4,1200.0,1548.5773575146911,97.58649999275804,4545.5392000003485,272348.0144508671
1698087296,500,,Aggregated,40.857143,0.000000,1400,2200,2600,2800,3400,4000,4600,4900,5600,5600,5600,505,129,1400.0,1820.3586332674893,97.58649999275804,5604.994799999986,214389.75643564356
1698087297,550,,Aggregated,40.250000,0.000000,1500,2400,2800,3000,3700,4500,5100,5600,6300,6300,6300,701,289,1500.0,1914.9814734663496,24.33660000679083,6318.212099999073,169515.68758915833
1698087298,600,,Aggregated,42.111111,2.666667,1200,2100,2700,2900,3900,4900,5600,5900,6800,6800,6800,914,470,1200.0,1756.177012253707,11.251099989749491,6827.763799999957,140719.147702407
1698087299,650,,Aggregated,60.200000,21.300000,1100,1800,2500,2800,3900,5000,5800,6300,7500,7700,7700,1122,641,1100.0,1623.371329857284,6.051500007743016,7718.7359999952605,125714.8128342246
1698087300,700,,Aggregated,79.400000,37.200000,1100,1700,2500,2800,3900,5200,6300,7500,8700,9000,9000,1294,769,1100.0,1575.1726607417563,6.051500007743016,8995.345099989208,122422.13446676971
1698087301,750,,Aggregated,94.800000,53.600000,880,1500,2200,2700,3800,5100,6300,7600,9000,9900,9900,1497,951,880.0,1467.053886105434,6.051500007743016,9919.310899989796,109791.73146292585
1698087302,800,,Aggregated,107.500000,69.300000,810,1400,2100,2600,3700,5000,6500,7900,9900,11000,11000,1697,1104,810.0,1430.8532713022694,6.051500007743016,10963.86309999798,105396.32940483205
1698087303,850,,Aggregated,121.100000,84.000000,720,1300,2000,2500,3700,5200,6800,8500,11000,11000,11000,1907,1275,720.0,1392.598999632956,6.051500007743016,10963.86309999798,100342.08704771893
1698087304,900,,Aggregated,136.600000,101.000000,620,1300,1900,2500,3600,5000,6700,8500,11000,11000,11000,2081,1419,620.0,1335.9593938011233,4.234599997289479,10963.86309999798,96631.2253724171
1698087305,950,,Aggregated,150.900000,115.600000,540,1200,1800,2400,3500,5000,6800,8500,11000,11000,11000,2319,1606,540.0,1293.1191209141907,4.234599997289479,11381.22180000937,92536.1673134972
1698087306,1000,,Aggregated,168.400000,132.700000,490,1200,1800,2300,3500,5100,6800,8500,11000,11000,11000,2497,1747,490.0,1276.1424481378,4.234599997289479,11381.22180000937,91613.14817781337
1698087307,1000,,Aggregated,177.200000,142.100000,400,1100,1700,2200,3500,5000,6700,8400,11000,11000,11000,2722,1933,400.0,1228.5671026818745,4.083899999386631,11479.956700000912,89310.8464364438
1698087308,1000,,Aggregated,199.500000,163.500000,380,1100,1600,2100,3500,5000,6700,8400,11000,12000,12000,2904,2080,380.0,1204.1264676308697,4.083899999386631,11550.954500009539,88576.68285123968
1698087309,1000,,Aggregated,193.800000,157.300000,380,1100,1600,2100,3400,5000,6700,8400,11000,12000,12000,3099,2224,380.0,1180.5106215875733,4.083899999386631,11550.954500009539,87128.42626653759
1698087310,1000,,Aggregated,195.600000,158.200000,350,1000,1600,2000,3400,5000,6700,8400,11000,12000,12000,3292,2376,350.0,1167.28875082013,4.083899999386631,11550.954500009539,87469.79556500608
1698087311,1000,,Aggregated,194.300000,156.700000,330,960,1500,2000,3400,5000,6700,8300,11000,12000,12000,3492,2527,330.0,1150.209529467312,4.083899999386631,11550.954500009539,86627.87714776632
1698087312,1000,,Aggregated,193.900000,155.100000,310,950,1500,2000,3400,5000,6700,8300,11000,12000,12000,3673,2658,310.0,1135.5455405934622,4.083899999386631,11550.954500009539,86315.20283147291
1698087313,1000,,Aggregated,195.800000,157.000000,300,920,1500,1900,3400,5000,6800,8300,11000,12000,12000,3881,2809,300.0,1129.3757567378748,4.083899999386631,11550.954500009539,86590.40891522804
1698087314,1000,,Aggregated,194.600000,154.300000,290,900,1400,1900,3400,5000,6800,8300,11000,12000,12000,4072,2960,290.0,1115.6399419940137,4.083899999386631,11550.954500009539,86036.54150294696
1698087315,1000,,Aggregated,193.500000,152.200000,280,880,1400,1800,3400,4900,6800,8300,11000,12000,12000,4270,3118,280.0,1105.1849813348263,4.083899999386631,11550.954500009539,84972.20632318502
1698087316,1000,,Aggregated,193.100000,149.600000,270,870,1400,1800,3300,4900,6800,8300,11000,12000,12000,4444,3253,270.0,1095.362943361746,4.083899999386631,11550.954500009539,84027.7097209721
1698087317,1000,,Aggregated,200.000000,155.800000,270,870,1400,1800,3300,4900,6800,8200,11000,12000,12000,4612,3375,270.0,1095.3538744361729,4.083899999386631,11550.954500009539,84348.26300954033
1698087318,1000,,Aggregated,191.300000,147.200000,290,870,1400,1800,3300,4900,6800,8200,11000,12000,12000,4802,3511,290.0,1092.635151186947,4.083899999386631,11550.954500009539,84064.79466888796
1698087319,1000,,Aggregated,191.400000,147.400000,290,850,1400,1800,3300,4900,6800,8200,11000,12000,12000,4973,3641,290.0,1087.2525695153397,4.083899999386631,11550.954500009539,84648.40217172733
1698087320,1000,,Aggregated,187.200000,142.500000,290,840,1300,1800,3300,4900,6800,8200,11000,12000,12000,5165,3795,290.0,1079.7535535333732,4.083899999386631,11550.954500009539,84257.0844143272
1698087321,1000,,Aggregated,187.800000,141.800000,290,830,1300,1800,3300,4800,6800,8300,11000,12000,12000,5361,3939,290.0,1077.591301604156,4.083899999386631,11550.954500009539,84468.01380339489
1698087322,1000,,Aggregated,186.100000,140.900000,290,820,1300,1800,3300,4900,6900,8300,11000,12000,12000,5534,4068,290.0,1079.2072133176523,4.083899999386631,11550.954500009539,85401.81658836285
1698087323,1000,,Aggregated,184.700000,139.300000,280,800,1300,1800,3300,4900,7000,8300,11000,12000,12000,5727,4218,280.0,1074.5567954076653,4.083899999386631,11550.954500009539,85033.12868866771
1698087324,1000,,Aggregated,184.600000,139.100000,270,780,1300,1800,3200,4800,7000,8300,11000,12000,12000,5940,4394,270.0,1060.943638434266,4.083899999386631,11550.954500009539,84587.86245791246
1698087326,1000,,Aggregated,184.800000,139.900000,260,770,1300,1800,3200,4800,6900,8300,11000,12000,12000,6123,4532,260.0,1053.155167793504,4.083899999386631,11550.954500009539,84510.07675975829
1698087327,1000,,Aggregated,184.600000,141.500000,250,750,1300,1800,3200,4800,7100,8400,11000,12000,12000,6330,4701,250.0,1050.0262808056257,4.083899999386631,11550.954500009539,84477.96240126382
1698087328,1000,,Aggregated,183.600000,140.100000,250,740,1300,1800,3200,4800,7100,8400,11000,12000,12000,6524,4850,250.0,1044.101745815384,4.083899999386631,11550.954500009539,83529.60806253832
1698087329,1000,,Aggregated,183.600000,140.100000,250,760,1300,1800,3300,5200,8300,10000,30000,30000,30000,6774,5059,250.0,1265.9199007380205,4.083899999386631,30173.340999986976,82830.08547387068
1698087330,1000,,Aggregated,189.900000,146.800000,250,780,1400,1900,3500,5900,11000,30000,30000,30000,30000,7051,5288,250.0,1570.1533667138326,4.083899999386631,30173.340999986976,81807.22620904836
1698087331,1000,,Aggregated,195.900000,153.800000,260,800,1400,1900,3700,6700,30000,30000,30000,30000,30000,7309,5512,260.0,1792.5171934463071,4.083899999386631,30306.775399993057,80522.59515665617
1698087332,1000,,Aggregated,206.100000,163.500000,260,810,1400,1900,3800,7200,30000,30000,30000,30000,30000,7503,5677,260.0,1894.8269827934114,4.083899999386631,30375.489699988975,79408.15886978542
1698087333,1000,,Aggregated,212.400000,170.100000,260,810,1400,2000,4000,8300,30000,30000,30000,30000,30000,7799,5935,260.0,2107.5840744965935,4.083899999386631,30473.271299997577,78309.09193486345
1698087334,1000,,Aggregated,212.100000,172.000000,260,830,1500,2000,4200,9100,30000,30000,30000,30000,30000,8028,6123,260.0,2256.1488264697095,4.083899999386631,30473.271299997577,77778.78114100648
1698087335,1000,,Aggregated,224.400000,185.300000,260,830,1500,2100,4300,9200,30000,30000,31000,31000,31000,8168,6233,260.0,2276.5238053500043,4.083899999386631,30830.18629999424,77993.49534769834
1698087336,1000,,Aggregated,229.300000,189.900000,300,900,1600,2200,4800,30000,30000,31000,31000,31000,31000,8496,6509,300.0,2570.0902801081293,4.083899999386631,31363.37010000716,77925.01118173258
1698087337,1000,,Aggregated,218.600000,181.300000,310,930,1600,2200,5000,30000,30000,31000,31000,31000,31000,8689,6676,310.0,2704.7658491539473,4.083899999386631,31363.37010000716,76945.2421452411
1698087338,1000,,Aggregated,213.100000,175.400000,300,910,1600,2200,4900,30000,30000,31000,31000,31000,31000,8893,6853,300.0,2657.6240029122746,4.083899999386631,31363.37010000716,75935.27122455864
1698087339,1000,,Aggregated,231.600000,194.700000,300,900,1600,2200,4900,30000,30000,31000,31000,31000,31000,9044,6966,300.0,2633.8833285381306,4.083899999386631,31363.37010000716,75828.38257408226
1698087340,1000,,Aggregated,227.100000,191.700000,300,900,1600,2200,4800,30000,30000,31000,31000,31000,31000,9297,7174,300.0,2591.2295290522597,4.083899999386631,31363.37010000716,75658.3765730881
